Notes,SiteID,RecoveryMethod,MeshSize,RecoveryMethodNotes
"all data recorded here are from Dietsch's unpublished thesis: the site of Bercy is located on the banks of an old river bed of the Seine and is dated to the Chasseen period (this horizon is at a level lower than that of the water tableand therefore was favorable for good preservation of by waterlogging in the alluvial layers of the Seine); Dietsch notes that she was not able to implement sampling at the site because of her late affiliation to the excavation team and so depended on samples taken earlier by Jean-Marie Pernaud; she notes that information regarding the volume of sediment sampled appeared quite sporadic on labels attached to bags containing sieved sediments and what data there was indicated that volumes sampled varied greatly (e.g., less than 2L for a sample from the square DIV 73 (CAPVAL III) and 20L for samples taken in section IV (CAPVAL III); Dietsch records taxa identified according to the different areas of the site that were sampled: Quartier Sud, CAPVAL III and CAPVAL IV; she also notes that of the 2 cultural layers distinguished in Quartier Sud most of the samples studied came from layer 2 (n=30) and only 7 derived from layer 1; CAPVAL III samples were from a bank and channel structure and CAPVAL IV samples were taken from post/stake holes and a small hearth; I have amalgamated her data from all samples recorded in tables 1, 2 and 3 [db entries replace earlier records based on Dietsch's 1996 paper]; archaeobotany: wet-sieving was possible after the establishment of a system with a permanent water supply at the site; during this first screening for the recovery of charred wood mesh sizes of 4mm and 2mm were used - then in the laboratory sieves of 2mm and 1mm were used in wet-sieving of these same samples to completely remove any remaining sediment (mention is also made of using a smaller than 1mm mesh size?); most of the plant remains were waterlogged and only a small minority were charred (e.g., cereal grains, fruitstones, acorns, hazelnuts); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S1272,wet-sieving,"4.0mm, 2.0mm, 1.0mm",NULL
"K (p21-23) describes remains from within the fill of a pot found in a pit; plant material was interspersed within clay lumps (3dm3) & had not charred in situ; clay was soaked in water & wet sieved",S1274,wet-sieving,NULL,NULL
"M & R-C (p69-71) record remains in a black layer (layer XIII = sand discoloured by burning) between the cairn & the sandy subsoil); c.1,000 litres were processed but numbers of samples are not given; taxa are recorded in a single list (table 1)",S1324,"machine flotation",NULL,NULL
"the site was partially excavated in 1991 by the institute of prehistory in Leiden; Brandwijk-Kerkhof is a small dune in the Dutch Rhine/Meuse river area; the excavation trench (area: 3x15m and max. depth of 6.5m) was located on the S slope of the dune where occupation was concentrated; several refuse layers were distinguished; layers 50 and 60 are the most important in extent and in terms of archaeological remains; the site was occupied periodically from c.4600-3550 BC - Swifterbant pottery was present in all layers at the site; there are indicatons that it was a temporary hunting/fishing camp in summer/winter (although all-round occupation is not discounted); archaeobotany: Out describes sampling for a/bot remains in several ways (pollen cores, sample boxes in sections, lab samples (smallest mesh 0.25mm), on-site sieving (mesh: 1.5mm) and hand-picking); I've decided to enter taxa recorded in the lab samples only: 1L samples taken from layers L50 and L60 that were sieved on a stack of sieves the smallest being 0.25mm; these samples are listed in appendix 2 under tables II.5 and II.6; 5 samples were taken from layer 50 and these are much richer than the 3 taken from layer 60; Out records waterlogged and charred remains in the same tables (the vast majority of taxa are waterlogged) - as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries",S1357,wet-sieving,0.25mm,NULL
"K (p51-73) refers to 7 houses; Ph I (BbkI): 82 spls/lg pits (1668 l); 102 in sgle pits (2091 l); 21 in ext dtchs (393 l); Ph II (BbkII): 108 spls/sgle pits (2413 l); 17 in slit trchs (185 l); 7 in wall dtch (133 l); ubiquity per context type (n=3)",S1382,wet-sieving,NULL,NULL
"the dolmen of Pierre Tourneresse or Pierre Tourniresse is located a short distance from the village Cairon-Le-Vieux, 15km north of Caen; it is situated in the valley of Vey, a tributary on the right bank of the Mue - the last tributary on the right bank of the Seulles; knowledge of/work at the site dates back to the 19th century; in 1996 (following an initial survey in 1992) the first authorization to excavate was granted and work was carried out in August by 20 volunteers (authorization over three years from 1997 to 1999 was then issued so as to complete the excavation of the site); the excavation was undertaken with the aims of investigating the architecture of the monument and the palaeosol upon which the dolmen was constructed; chronology: 14C dates/artefact typology are consistent with the proposed dating to the extreme end of the middle Neolithic I or the very beginning of middle Neolithic II, in the second half of the 5th millennium; archaeobotany - there was a systematic policy of sampling implemented during the excavation of the palaeosol at the site; D-S reports in her study the analysis of seeds and fruits in 44(?not sure how this total was calculated - doesn't seem to be in agreement with tables) small samples of sediment from the palaeosol underlying the dolmen (n=38, table 15) and associated excavated structures (n=3, table 17) all samples (of 2L) were collected by the excavation team; samples were wet-sieved by the excavators on a column of two sieves with meshes of 2 mm mesh and 0.5 mm -  total volume sediment processed from the palaeosol: 86L and from the associated structures: 18L; hand-picked samples only of hazelnutshell fragments are also reported in table 16 - I haven't entered these in the db - my records refer to tables 15 and 17 in which taxa from a total of 41 samples are listed",S1421,wet-sieving,"2.0mm, 0.5mm",NULL
"J (p55-61) describes remains in 2 samples (that were reliably provenanced) taken from an in situ loam layer; no vols given - 196 was wet sieved; 165 examined in its entirety; only charred grains were recovered from the 2 samples",S1514,wet-sieving,0.5mm,NULL
"the site of Chenet des Pierres is located in the valley of the Doron de Bozel which is a major tributary of the Isere (it joins south of Moutiers); the site in an area of rockfall (?scree) at a place called the des Pierres Chenet at an altitude 940 m and oriented NW; Hippolyte Muller in 1909 reported a Neolithic site near the hamlet of Moulins Bozel- since that date it has often been mentioned but has never been studied because of the uncertainty of the location; in 1999 as part of a thematic exploration of Neo occupations in the Tarentaise valley led by PJ Rey (Rey 2006; Rey 2007a, 2007b), several surveys (S1 to S9) revealed the presence of Neolithic occupation levels in the middle of the rockfall; since 2001 one of the most promising sectors was in the S3 survey (conducted by PJ Rey) - it covers an area of about 30 m2 square between two huge blocks of schist; the site was probably seasonal but according to PJ Rey was ""a small space that was densely occupied""; 5 major sedimentary units were identified: the first 2 levels are completely reworked (level 5 is sterile), levels 3 and 4 are the archaeological sequence - evidence indicates occupation between the fourth and last third of the middle the third millennium; level 4, which includes subdivisions 4I and 4II marks the first episode of occupancy in Middle Neolithic 1; level 3, which includes subdivisions 3I, 3II and 3III indicates most recent occupation in Middle Neolithic 2; archaeobotany: sampling was carried out at the site in the 1999 season and continued from 2001 onwards (tables 5 and 6 record taxa identified in 1991 samples and post-2001 samples, respectively); levels 3 (3I & 3II) and 4 (4I & 4II) were sampled; volumes of 1999 samples range from 0.3-1.1L but much larger volumes (100L: d21) were taken in the later years); screening was performed initially at the excavation base at Bozel (d21) and the IPSA to Basel - all samples were sieved with water on three sieves 8 mm, 2 mm and 0.5 mm.; bulk samples were frozen prior to sieving in order to disaggregate sediments; all remains are charred and LM notes that preservation is quite good (although fragmentation is relatively high); in the tables  fragments have been converted to 'whole grain/seed equivalents'; I've amalgamated tables 5 and 6 for db entries",S1545,wet-sieving,"8.0mm, 2.0mm, 0.5mm",NULL
"[the site I've entered is does not have the suffix 'Sud'] at one end of the le Grand Lac (at Clairvaux-les-Lacs) on a peat peninsula J. Le Mire identified the site of la Motte-aux-Magnins in 1869; this was the first Neolithic site in a wet environment discovered in France; the depth of occupation is 1m to 2.4m; the site was successively occupied from the early 4th millennium (Burgundian Middle Neolithic) up to the middle of the 2nd millennium (end of Early Bronze Age); from 1970 to 1983 an archaeological campaign showed the importance of this major site - only 108 sq. meters have been explored out of a total surface area estimated at more than a hectare; archaeobotany: L-B reports plant remains recovered from levels IV, V and VI at the site; the main occupation level (V) is subdivided into an upper layer separated by what is described as an 'anthropogenic clay' from a lower layer; above and below level V are lacustrine chalk layers (IV and VI, respectively); it seems that a 'hiatus' marked by the anthropogenic clay represents a period when there was an influx of water that caused temporary abandonment of occupation at the site; a/bot samples were taken from four columns (dug through all levels) - the vast majority of plant remains were waterlogged; recovery was by wet-sieving and the smallest mesh sizes were 0.5mm and 0.2mm [data recorded in db are taken from table 14]; Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S1557,wet-sieving,"0.5mm, 0.2mm",NULL
"a long timber-built Early Neolithic structure was excavated at this site (c. 24m x 8.5m). It was concluded that, while the structure may have been lived in, it was not a large 'farmhouse' and cannot be taken as a 'typical' settlement of the Early Neolithic in Scotland; Archaeobotany: Charred plant remains were recorded in 24 samples from post-holes, slot-trenches and internal pits. The samples were washed/processed with water, using a sieve of unknown mesh size. Cereal remains included emmer wheat, bread wheat and cf. 6-row hulled barley. Large quantities of hazelnut shell were recorded. The totals from C15 and C19 are >300 and >250 respectively. Crab-apple remains were also present in one deposit, as well as weeds in another deposit [hazel nut remains are present in all samples, all other taxa are only recorded in 6 samples; the 2 burnt pits contain the majority of remains]",S1559,wet-sieving,NULL,NULL
"site 1 contained a Late Mesolithic deposit of lithics and burnt material; excavation licence number: unknown.; Archaeobotany: presence only of charred and waterlogged plant remains is recorded in one sample; the method of recovery is unknown. Note from SC: as with other sites I've entered charred remains (and noted if taxa are also found in waterlogged form) and waterlogged taxa that are known to be edible (as in PFAF) - all other waterlogged remains are omitted from db entries",S1563,NULL,NULL,NULL
"a few 800 meters from the site of Rivaux on the left side of the Borne and separated by the basalt dyke of Espaly St-Marcel is the Neolithic occupation of Cormail covering several acres (the site was known about since the last century); Locus III discovered in 1981 was the focus of a rescue excavation until 1985 under the direction of J.J. Houdre; plant remains were recovered from a large pit (20 x 20 m) probably of natural origin and filled with a thick ashy sediment (and located on scree slope adjacent to the river); all deposits revealed Chasseen artefacts - some vestiges of structures remain (post holes, etc.) but few habitation floors and it was so impossible to perceive the role of functional site (habitatation, dump, etc.); ceramics and some bone material date the occupation phase to recent Chasseen Vellave and correlate to level 3 and 4 Rivaux which confirms the 4 radiocarbon dates (see report for details); archaeobotany: plant remains (all charred) were observed at the excavation at all levels however, lower layers seemed richer; wieving, either dry or wet according to circumstances on a coarse mesh sieve (?size not specified) facilitated retrieval of some of these remains - Bouby notes that the operation was not systematic; later in the text he states that for several of the samples it was possible to use a fine(r) sieve and volumes of sediments processed in this way are recorded; in table 2 the taxa from this sieving exercise are listed - I've assumed that these taxa have already been included in the overall totals shown in table 1 (on the basis that numbers of items are exactly the same in both tables for some of the samples) ",S1598,"wet-sieving, dry-sieving",NULL,NULL
"this site contained a pit-defined enclosure dated to Early Neolithic (Enclosure 1), a post-defined enclosure dated to the Middle Neolithic (Enclosure 2) and possible domestic activity. Medieval or post-medieval rig and furrow overlay the site; Archaeobotany: Charred plant remains were recorded in 7 of 89 samples from Enclosure 1, and in 3 samples from Enclosure 2. The samples were washed/processed with water, using a sieve of 0.3 mm mesh size. A small number of cereal grains was present, including wheat and barley. Occasional weed seeds were also recorded. It is possible that the material in Enclosure 2 deposits is residual, due to nearby medieval furrows, but this is not clear. [I haven't included the ?MNeo samples in the db]",S1630,wet-sieving,0.3mm,NULL
"the excavations took place between 1993-1995 in advance of the building of a community centre in the municipality of Spiere-Helkijn (excavations by the University of Leuven); the site is located on a Pleistocene sand-loam ridge delimited by the valleys of Grote Spiere (W/NW), the Oude Spiere (S) and the Scheldt (E/SE); the middle Neolithic features consist mainly of the remnants of an enclosure (ditch and palisade) of which c.100m was investigated in the rescue excavation; the palisade exposes 4 interruptions of different sizes - which correspond to one interruption and 3 narrowings of the ditch; the stratigraphy of the ditch indicates several phases of infilling characterised by domestic refuse (e.g, bones, flint artefacts, charcoal, etc.); archaeobotany: during the excavations soil samples were taken and analysed by J. Heim and the author (C. Bakels); wet-sieving was carried out using a mesh of 0.25mm; all plant remains were charred; 4 samples from the ditch segments 20c and 20d, including two from stratigraphic stage 1 and two out of phase 3, and one sample is taken from track number 4; most residues are from the ditch, e.g, the samples from ditch segments 20b and 20c/d, all of stratigraphic stage 3; a total of 10 samples are recorded in table 14; Bakels also lists 2 species (flax and pea) that were identified by Heim that are not present in the samples she studied",S1675,wet-sieving,0.25mm,NULL
"M (p217-27) lists remains from the passage grave; samples of 2-5l taken on a m2 grid - some near a hearth in a palaeosol; charred & ?mineralised taxa were ID but not categorised in table XV; nos with * assumed to be frags - not included in totals",S1696,"bucket flotation",NULL,NULL
"the settlement was discovered in the summer of 1978 under the Hallstatt Prince mound (grave) (Kuster 1985); this settlement was excavated in the period between August 1978 and September 1979 over an area of of approximately 4000 m2; the excavation was lead by Dr. Jorge Biel Landesdenkmalamt Baden-Wurttemberg, Archaeological Conservation, in Stuttgart; the settlement is located about 300 meters away from the outskirts of the present-day village in the Hochdorf 'Biegel' - the location is typical of the Neolithic period: on the edge of the loess area at the top of a gently sloping south slope; the site: during the excavation of Neolithic settlement mainly settlement pits were found - probably used first for the removal of loess and loess loam, which could be burned and used as building material for huts or houses of the settlement; in the pits there was abundant archaeological material: ceramics, grinding stones, the remains of daub, processed stone, bone, and large quantities of botanical remains; archaeobotany: sediment samples were taken from the profile walls of the pit sections (from numerous pits several sediment samples were taken, it was shown that the material was not uniform in the various pits); sample size was 5 to 10 litres; the sediment samples were then when they had been for least several hours dissolved in water were washed through three sieves with mesh sizes 2.5, 1.0 and 0.315 mm; a total of 142 sediment samples came from 56 pits - only 2 samples (= 1.4% of all samples) had no charred plant remains; 140 soil samples, or 98.6% of all samples contained botanical remains (Kuster describes 4 sediment types from which sampels were taken - see table 1)																																										",S1774,flotation/wash-over,"2.5mm, 1.0mm, 0.315mm",NULL
"S-M (p213-6) describes remains recovered from the LBK - he is unspecific about provenances & gives no sample details; his report mentions only 12 LBK samples (LBK phases are amalgamated in the d/base); numbers of taxa are not given - presence only",S1798,wet-sieving,NULL,NULL
"K (p43-50) describes remains assoc with 1 house: 108 sples from longitudinal pits (2,090 l); 3  from ditches (43 l) & 2 from p/holes (30 l); details of recovery methods ch7; K amalgamates nos of taxa per context type (n=3); ubiquity also by context type",S1803,wet-sieving,NULL,NULL
"K (p85-93) lists remains found in contexts of 1 house: 72 sples (1,345 l) from longitudinal pits (nos 30 & 40) & 21 (387 l) from a single pit (no 57); details of wet sieving in ch7; nos of taxa given per pit type; ubiquity also according to pit type (n=2)",S1835,wet-sieving,NULL,NULL
"the site was excavated in the 1980s (Ottoway 1995) but was known of much earlier in the 1950s; early in the 1980s inhabitants of Fischergasse discovered during excavations for the foundations of new houses pottery, bone, flint tools, etc.; the site is located in the Isar valley at the junction of the lower terrace and the loess plateau (Ottoway mentions a 60cm thick humus layer overlying(?) the site/s); excavations began in 1982 when power lines/septic tank were placed for the new houses - sections dug revealed that the Altheim layers were directly above the peat layer (so it's debatable whether or not there was/had been preservation by waterlogging because of the changes in groundwater levels - see a/bot descriptions below) - but preseved timbers were recovered; Ottoway notes that because of the proximity to the water table there were optimum conditions for palaeoecological studies [details of trenches are given in the text]; archaeobotany: the samples were wet sieved and the seeds etc., were kept in chemical solutions prior to sorting (no details are given about volumes/sieve sizes - sample weights are recorded); Hinton classifies the plant remains in 3 categories according to preservation type: charred: (all grains/chaff); uncharred/waterlogged(?): wild taxa that are possibly contemporary with Altheim layers but because of the lowering of the groundwater levels there is some doubt as to whether they may be more recent contaminants; mineralised: a few samples contained taxa that were wholly/partly replaced by inorganic substances (e.g., the flax seeds); Hinton states that the sediments at the site are still wet but are not underwater; I have assumed that the mineralised taxa are contemporary and also the uncharred/waterlogged economic taxa; I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former",S1842,wet-sieving,NULL,NULL
"S (p184-90) records taxa found in 2 pre-enclosure (period 1A) pit contexts; total vol=218l; taxa from 2 pits amalgamated - 1 list presented in table 39 (p186-7); ubiquity not given",S1911,flotation,0.25mm,NULL
"Flintbek is a settlement site in northern Germany, 8km south-west of Kiel and the western Baltic Sea coast (no other information found; see Mischka 2011 for details of burials, etc.); archaeobotany: data taken from Kirleis  et al. 2011 in which several sites are described (i.e., specific details for Flintbek aren't given) but Kirleis states that in general a standard sample size of about 10 l of sediment was taken; flotation was used with a mesh size of 0.3 mm; in her table 2 she lists taxa present in the 15 recently examined sites (incl FL55) with totals counts but not ubiquities; for Flintbek she records that 1 sample (total volume: 10 litres) was analysed; very few ID notes in text; in the general discussion Kirleis notes that settlements show the highest concentrations of plant materials with up to 109 remains/10 l (all remains are charred)					",S1915,flotation,0.3mm,NULL
"during the excavations of the vast Roman imperial settlement Flogeln-Eekholtjen the excavator WH Zimmerman found multiple Neolithic settlement traces, also a small flat burial ground of the Funnel Beaker culture (Behre & Dusanka 1994); on the edge of the imperial settlement in 1977 he discovered at the edge of the adjacent swampy lowland ""In Ortjen"" the clearly marked discoloration of a Neolithic house plan; this was so complete that the structure of the building could be reconstructed (Zimmermann1979a, 1980); stone units and pottery dated the settlement to the Funnel Beaker culture; archaeobotanical analysis: samples taken from wall trenches, post-holes and other [dark] stains in the area of Neolithic houses were processed/washed in large numbers; many of them contained charred grain fragments, often identifiable charred crop residues; with few exceptions, the samples contained only small amounts of identifiable crop residues and much less collected and wild species [and the mesh size was 0.9 mm, smaller? meshes were quickly clogged by the sand grains and therefore could not be used] 												",S1917,wet-sieving/wash-over,0.9mm,NULL
"the cave is located in the commune of Foissac (Aveyron) NE of the Causse de Limogne at a distance of 15km N of Villefranche-de-Rouergue; archaeological excavations were conducted between 1977 and 1988;  Chalcolithic occupation is concentrated in approximately 300 m of gallery behind the underground entrance to the river; research first concerned the facilities, quarries and traces related to clay extraction and also human remains, especially 4 individual burials; 2 areas have been examined: sectors de la Riviere and du Chaos (in both plant remains were preserved); by pumping/diversion of the Jonquiere (river) during low water it was possible to excavate on the old river bed - two Chalcolithic levels underwater were very favorable to the preservation of plant remains (e.g., la Riviere area) including the presence of many non-carbonized wood fragments; 16 wooden posts were found in 2 rows oriented along the axis of the stream - these are supposed to have supported a wooden floor c.70 m2 in area; Chaos area: archaeological layers eroded so excavation was limited to 2 layers: lower almost devoid of finds; upper rich in finds and charred plant remains (also impressions of basketry etc. in clay); 2 large vessels associated with concentrations of charred seeds suggests that the area was used for storage [burnt rodent coprolites were found in with the stored cereal grains indicating infestation]; ",S1925,"bucket flotation, wet-sieving","2.0mm, 0.5mm","mesh sizes listed for bucket flotation only; wet sieving mesh sizes from 25.0mm to 0.6mm"
