Country,Latitude,Longitude,SiteID,Elevation,SiteName,Distance matrix lakes_Distance,Distance matrix rivers_Distance
Great Britain,56.0155,-6.23501,S1567,249,Cnoc Coig,0.868122594,0.969849324
Great Britain,56.0674,-6.21,S1568,346,Cnoc Sligeach,0.833940483,1.027426092
Great Britain,50.9774,-1.1324,S1597,34,Corhampton,3.700793788,0.975746003
Great Britain,55.8,-6.4557,S1608,116,Coulererach,1.141235468,0.682934589
Great Britain,56.089,-3.90445,S1630,0,Cowie Road,0.490463753,0.568452432
Great Britain,56.1259,-5.2407,S1632,21,Crarae,0.117880747,0.675360957
Great Britain,50.5229,-2.4444,S1656,0,Culverwell,3.103218233,1.1161671
Great Britain,54.8572,-4.05159,S1657,44,Cumstoun,1.278657271,0.814676152
Ireland,55.1195,-6.0577,S1661,0,Cushendun,1.271227234,0.485636422
Great Britain,55.3546,-3.6096,S1663,306,Daer Reservoir  ,1.158485589,0.152655818
Ireland,53.2708,-6.084,S1666,0,Dalkey Island,0.395562584,0.922890661
Great Britain,56.7959,-2.6107,S1667,0,Dalladies,1.418681727,0.815302783
Great Britain,51.6381,-4.67632,S1673,340,Daylight Rock,2.338588091,1.357383871
Great Britain,57.2344,-2.3579,S1679,0,Deer's Den,1.778084257,1.239544271
Ireland,54.2399,-5.8446,S1689,0,Dendrum Nature Reserve,1.217279322,0.676900762
Ireland,55.0017,-6.4042,S1736,0,Dooey's Cairn,1.390208943,0.123548568
Great Britain,50.7,-2.4333,S1737,14,Dorchester,3.27889511,0.945897452
Great Britain,50.933,-1.99,S1740,131,Dorset Cursus,3.508279385,0.961349193
Great Britain,56.6233,-2.6242,S1743,0,Douglasmuir,1.39018149,0.745140938
Great Britain,51.67,-1.13,S1748,66,Drayton Cursus,4.369677148,0.291918162
Great Britain,56.41,-5.4741,S1753,465,Druimvargie,0.224558718,0.729574411
Great Britain,57.2396,-7.44916,S1758,0,Dun Vulan,1.783896535,2.175673668
Great Britain,53.51,-1.7934,S1761,16,Dunford Bridge,3.740448169,0.747471875
Great Britain,55.9645,-4.9387,S1762,106,Dunloskin Wood,0.315740425,0.669783416
Great Britain,55.997,-4.3528,S1763,41,Duntreath,0.18371224,0.69901648
Great Britain,52.247,-0.760808,S1771,0,Earl's Barton,5.023646349,0.101862526
Great Britain,51.3934,-1.908,S1772,72,Easton Down,3.972964504,0.78988626
Great Britain,52.6063,1.2672,S1773,25,Eaton Heath,4.223531506,0.897425152
Great Britain,57.4677,-7.3492,S1796,40,Eilean,1.765121494,2.365860228
Ireland,51.96,-10.26,S1826,414,Emlagh Bog Embayment,0.672120964,2.330463306
Great Britain,54.3139,-3.40665,S1853,534,Eskmeals,2.073708846,1.130909332
Great Britain,51.4934,-0.6314,S1860,0,Eton Wick,4.351011488,0.586883072
Great Britain,52.4203,-0.762609,S1878,0,Faraday Road,5.189545769,0.265810735
Ireland,52.1764,-10.4556,S1896,101,Ferriter's Cove,0.864958174,2.416754598
Great Britain,56.2767,-2.5871,S1898,0,Fife Ness,1.460140542,0.676212314
Great Britain,54.7301,-1.2623,S1901,0,Filpoke Beacon,3.319505171,0.465976207
Great Britain,51.7048,-0.007,S1908,0,Fisher's Green,4.791216313,0.560043091
Great Britain,50.708,-2.4191,S1911,5,Flagstones,3.285842859,0.94176113
Great Britain,49.9898,-5.219,S1913,0,Flint scatter and features 1,3.383925672,2.825341927
Great Britain,51.7541,-0.0019,S1914,0,Flint scatter in peat 2,4.837805574,0.521972564
Great Britain,54.2159,-0.4141,S1916,0,Flixton,4.310491508,0.602560839
Great Britain,51.3993,-1.2812,S1942,18,food processing activity,4.071234642,0.569524957
Great Britain,56.7354,-2.5463,S1944,0,Fordhouse Barrow,1.475097213,0.86053666
Great Britain,52.7615,-3.0819,S1950,94,Four Crosses,3.401643601,0.433670229
Great Britain,53.1833,-1.85,S1951,42,Fox Hole Cave,3.932383262,0.999484977
Great Britain,51.5659,-4.08908,S1952,38,"Foxhole Cave, Gower",2.851976831,0.898425541
Great Britain,51.091,-1.7272,S1967,156,Fussel's Lodge,3.689565941,1.024552182
Great Britain,56.11,-3.93,S1978,0,Garden,0.460181293,0.577254659
Great Britain,55.7229,-3.4306,S1980,188,Garvald Burn,1.041179054,0.131280068
Great Britain,51.5153,-1.1352,S1983,37,Gatehampton Farm,4.218444494,0.443223992
Great Britain,53.1019,-3.5281,S2002,38,Geometric industry under BA cairn,2.933691219,0.67319202
Ireland,52.5196,-8.5304,S2005,79,Geroid Island,0.966542259,0.538281015
Great Britain,53.22,0.14,S2010,79,Giant's Hills 2,5.347063081,0.513574123
Great Britain,53.25,0.1667,S2011,11,Giants' Hills,5.323869284,0.528593016
Great Britain,55.947,-5.9758,S2025,263,Glenbatrick,0.640937562,1.061980939
Ireland,54.3052,-9.458,S2026,64,Glenulra,0.260658965,0.812049417
Great Britain,55.8859,-5.2031,S2027,85,Glenvoidean,0.352261515,0.845036051
Great Britain,51.5328,-2.9228,S2036,89,Goldcliff West,3.890177799,0.270258513
Great Britain,51.5328,-2.9199,S2037,91,Goldcliff,3.892815907,0.267699413
Ireland,55.204,-6.1164,S2042,0,Goodland,1.234077647,0.475334154
Great Britain,51.2667,-2.75,S2053,150,Gough's Cave,3.877362319,0.360255926
Great Britain,54.0717,-1.8747,S2062,25,Grassington,3.301841224,0.314124165
Great Britain,51.4049,-1.3185,S2067,8,Greenham Dairy Farm,4.06856122,0.571504452
Great Britain,52.4754,0.6786,S2072,40,Grimes Graves,4.820841054,0.349410253
Great Britain,50.8788,-0.4647,S2189,0,Harrow Hill,3.848533429,1.20043287
Great Britain,51.3195,-2.9458,S2207,114,Haywood Cave,3.962363331,0.408628638
Great Britain,51.8686,-1.8958,S2210,93,Hazleton North,4.447894501,0.708892968
Great Britain,54.3493,-4.4759,S2211,0,"Hearth, charcoal dumps and flint-knapping floor",1.671832795,1.475495188
Great Britain,54.9755,-3.0937,S2212,34,Hearth,1.798509608,0.608674386
Great Britain,50.8202,-3.2605,S2224,150,Hembury,3.555553276,0.994326929
Great Britain,50.7124,-1.7479,S2227,0,Hengistbury Head,3.311451847,1.288543096
Great Britain,52.9435,-1.5074,S2231,85,High Furlong,4.342016411,0.966830612
Great Britain,51.0053,0.1325,S2232,42,High Hurstwood,4.244455185,1.247693206
Great Britain,51.1218,0.229131,S2233,97,High Rocks   ,4.394348739,1.182253715
Great Britain,51.2841,0.2272,S2234,108,High Rocks Shelks,4.532061935,1.040675599
Great Britain,56.6215,-3.9062,S2251,116,Home Farm Castle,0.113120277,0.107661087
Great Britain,56.5361,-4.1635,S2252,281,Home Farm,0.015395029,0.16959743
Great Britain,51.4635,-0.5361,S2259,0,Horton Manor Farm,4.35832128,0.671141041
Great Britain,51.5398,-2.91136,S2278,103,Human footprint series,3.897691843,0.256873833
Great Britain,53.8614,-2.0623,S2285,8,Ickornshaw Moor,3.304729321,0.52212021
Great Britain,56.541,-3.424,S2294,0,Inchtuthil,0.591690015,0.007274057
Great Britain,51.3225,-3.0118,S2299,93,Intertidal peat,3.903264842,0.454471602
Great Britain,55.9997,-3.6822,S2300,18,Inveravon,0.672237958,0.473963701
Great Britain,55.9304,-3.0405,S2301,0,Inveresk,1.174111245,0.292553417
Great Britain,50.9906,-0.7888,S2303,0,Iping Common,3.825318585,0.983268989
Ireland,53.6344,-7.25959,S2305,26,Newlands Cross,0.837977107,0.423891174
Great Britain,50.8251,0.0462,S2313,68,Itford Bottom,4.045789684,1.390337716
Ireland,52.5,-7.1667,S2332,0,Jerpoint West,0.883905254,0.225692153
Great Britain,50.4664,-3.5008,S2372,0,Kent's Cavern,3.307824104,1.421717329
Great Britain,51.4861,-0.2859,S2386,0,Kew Bridge,4.475195139,0.669053487
Great Britain,54.4789,-1.06,S2390,0,Kildale,3.628954045,0.430178039
Great Britain,56.0985,-6.1829,S2391,277,Kildran Burn,0.802704225,1.067596522
Ireland,52.1027,-7.7373,S2392,0,Kilgreany Cave,1.571948945,0.205394236
Great Britain,54.05,-0.3833,S2393,0,Kilham,4.429137738,0.489720442
Great Britain,54.3152,-4.38,S2394,54,"Killeaba, IOM",1.714905079,1.439385634
Great Britain,55.4883,-5.3117,S2395,158,Kilpatrick,0.714730596,1.247370963
Great Britain,52.4214,0.768,S2396,22,Kilverstone,4.737086177,0.453428836
Great Britain,51.8365,-2.6593,S2397,148,King Arthur's Cave,4.022237912,0.018542725
Great Britain,57.016,-6.28001,S2398,216,Kinloch Farm,0.604541843,1.559320042
Great Britain,57.0162,-6.2789,S2399,230,Kinloch,0.603612265,1.558299327
Great Britain,51.3255,-0.61788,S2415,0,Knap Hill,4.199687272,0.733950303
Great Britain,59.3493,-2.91085,S2416,0,Knap of Howar,1.988453378,2.756425846
Ireland,54.2752,-6.1852,S2417,0,Knockiveagh,1.115713611,0.386425918
Ireland,53.7051,-6.4917,S2419,0,Knowth,0.508196806,0.47867418
Great Britain,52.3096,0.6143,S2583,11,Lackford Heath,4.902439143,0.403091404
Great Britain,55.3094,-1.5525,S2584,0,"Lacustrine mud exposed in seacliff: multicomponent (Meso, BA) site",2.773188621,0.684027419
Great Britain,57.993,-4.40244,S2595,0,Lairg,0.049835117,1.296152895
Great Britain,51.5481,-1.5341,S2597,68,Lambourn,4.169369027,0.540066834
Great Britain,54.4629,-3.1202,S2602,479,Langdale,2.131384402,0.88622816
Great Britain,52.3911,-2.3086,S2803,82,Lightmarsh Farm,4.221384957,0.489007701
Great Britain,55.9754,-3.6186,S2815,58,Linlithgow,0.72665405,0.44513245
Ireland,52.1833,-8.9,S2819,165,Lisduggan North,0.602880025,0.960553466
Great Britain,55.4945,-5.1126,S2821,278,Lithics working site,0.729593266,1.16933827
Great Britain,51.6656,-4.7318,S2822,258,Little Hoyle Cave,2.278521882,1.398185836
Great Britain,57.5029,-5.9927,S2829,537,Loch A Squirt,0.490126425,1.50907114
Great Britain,55.2118,-4.3877,S2830,117,Loch Doon,0.830335868,0.927019055
Great Britain,54.9695,-3.6124,S2831,181,Lochhill,1.426545201,0.489617823
Great Britain,52.8504,-1.30917,S2832,3,Lockington,4.547320192,0.89816645
Great Britain,53.6079,-1.9879,S2842,4,Lominot Site III,3.532135477,0.776524842
Great Britain,56.3985,-5.47987,S2844,473,Lon Mor,0.216996296,0.738384607
Great Britain,51.0616,-0.8768,S2848,0,Longmoor,3.860722146,0.89661128
Ireland,53.2124,-7.7766,S2856,80,Lough Boora,1.167626714,0.306336753
Ireland,52.5196,-8.5304,S2857,79,Lough Gur,0.966542259,0.538281015
Great Britain,56.0216,-5.7795,S2872,50,Lussa 1,0.43120375,1.167250997
Great Britain,56.0207,-5.7794,S2874,42,Lussa River,0.431483957,1.167621556
Great Britain,51.6511,-4.7687,S2877,179,Lydstep,2.260221912,1.437832526
Great Britain,56.4173,-5.4713,S2886,228,MacArthur Cave,0.229961878,0.724875287
Great Britain,56.4507,-5.3097,S2889,240,Machrie Moor,0.151757223,0.56038884
Ireland,54.9647,-5.9231,S2890,170,Mad Man's Window,1.345980571,0.564923151
Great Britain,51.834,-2.6575,S2891,163,Madawg,4.024755493,0.015469595
Great Britain,58.9965,-3.18824,S2894,0,Maeshowe,1.551186136,2.341873462
Great Britain,50.6949,-2.46723,S2902,13,Maiden Castle,3.276527943,0.943126808
Great Britain,53.6115,-1.9879,S2927,8,March Hill ,3.529628682,0.772931658
Great Britain,53.6115,-1.9879,S2928,8,March Hill II,3.529628682,0.772931658
Great Britain,51.3232,-1.8708,S2930,95,Marden,3.905785637,0.847337604
Great Britain,53.2693,-1.2352,S2939,35,Markland Grips,4.317218604,0.555247982
Great Britain,51.4021,-1.39617,S2944,13,Marsh Benham,4.049929312,0.596992406
Great Britain,54.1261,-1.4154,S2947,83,Marton-le-Moor,3.578808147,0.064776672
Great Britain,56.1361,-4.0503,S2967,0,Meiklewood,0.386839932,0.583475897
Great Britain,55.6506,-3.2635,S2972,22,Meldon Bridge,1.199556602,0.007600246
Great Britain,54.9915,-2.61106,S2985,61,Midgeholme Moss,2.124462691,0.595891832
Great Britain,57.0045,-2.49025,S2987,0,Midtown,1.579841272,1.007901304
Great Britain,51.4422,-1.85798,S2997,38,Millbarrow,4.025434795,0.826303447
Great Britain,51.5803,-0.5335,S3001,0,Misbourne Viaduct,4.467589622,0.556799488
Great Britain,55.5136,-5.14,S3011,201,Monamore,0.722109369,1.159439709
Great Britain,54.3478,-1.0845,S3013,0,Money Howe I,3.68715019,0.322690139
Great Britain,54.3152,-3.4067,S3014,589,Monk Moors,2.072612607,1.129608976
Ireland,53.7241,-6.4862,S3015,0,Monknewtown,0.527124326,0.468686423
Great Britain,56.4206,-2.8641,S3046,0,Morton A,1.161772338,0.462619504
Great Britain,56.4206,-2.8641,S3047,0,Morton B,1.161772338,0.462619504
Great Britain,53.2627,-1.1964,S3051,43,Mother Grundy's Parlour,4.351084388,0.544244247
Ireland,55.113,-6.66457,S3057,0,Mount Sandel,1.22163172,0.01451778
Ireland,53.82,-6.76,S3061,0,Moynagh Lough,0.677757876,0.244303367
Great Britain,53.3044,-4.6837,S3066,0,Multiphase site,1.784505657,1.554487812
Great Britain,51.7536,-5.2009,S3081,55,Nab Head Site I,1.877789156,1.820331438
Great Britain,51.7536,-5.2009,S3082,55,Nab Head Site II,1.877789156,1.820331438
Great Britain,51.6409,-4.68108,S3092,291,Nanna's Cave,2.333146016,1.360648372
Great Britain,54.9743,-3.3047,S3112,83,Newbie Cottage,1.636766334,0.501196361
Ireland,54.8216,-6.4579,S3113,0,Newferry,1.270310353,0.01444176
Ireland,53.6948,-6.47555,S3114,0,Newgrange,0.497658506,0.497203624
Great Britain,55.76,-6.211,S3115,0,Newton,0.934114822,0.767927649
Great Britain,51.172,-1.825,S3137,76,Normanton Down,3.759248748,0.951087473
Great Britain,56.0818,-5.7211,S3140,586,North Carn,0.354542558,1.086615717
Great Britain,51.5655,-1.1184,S3141,34,North Stoke,4.271250289,0.390701855
Great Britain,57.8117,-7.0915,S3144,0,Northton,1.53794756,2.609319152
Great Britain,51.2439,-1.52719,S3157,94,Nutbane,3.870399392,0.794043769
Great Britain,51.1148,-0.8898,S3159,0,Oakhanger Warren Site VII,3.906463509,0.842056058
Great Britain,51.1121,-0.8942,S3160,0,Oakhanger Warren,3.90245623,0.844085195
Great Britain,51.1087,-0.9143,S3161,0,Oakhanger,3.892626239,0.844819363
Great Britain,54.3125,-3.4066,S3167,477,Occupation material in alluvial sediments,2.074887485,1.132309453
Great Britain,50.8882,-0.0122,S3176,0,Offham Hill,4.069422211,1.313744196
Great Britain,51.4674,-3.6371,S3179,26,Ogmore-by-Sea,3.286959299,0.690250615
Great Britain,51.6342,-4.68,S3180,366,Ogof-yr-ychen,2.33830467,1.362311402
Great Britain,51.5647,-0.1877,S3201,0,Open site,4.587275363,0.614883684
Great Britain,51.4998,0.377925,S3209,33,Orsett,4.79453206,0.92172497
Great Britain,53.0833,-1.85,S3215,11,Ossom's Cave,4.006326407,1.069367882
Great Britain,51.7463,-1.2554,S3242,71,Oxford BT Tunnel,4.415573872,0.225503137
Ireland,53.4373,-6.1593,S3244,0,Paddy's Hill,0.39478795,0.902965274
Great Britain,54.2133,-0.4234,S3247,0,Palynology monolith,4.304161151,0.595552948
Great Britain,51.5878,-4.1118,S3251,74,Parc le Breos,2.820927969,0.900735757
Great Britain,56.1437,-4.2474,S3256,83,Parks of Carden,0.280478812,0.559647557
Great Britain,51.5498,-4.2546,S3267,102,Paviland Cave,2.725263614,1.035625884
Great Britain,54.2231,-0.4154,S3268,0,peat site,4.305448685,0.608063182
Great Britain,57.1243,-2.6987,S3270,0,Peel of Lumpanan,1.420754026,0.901050315
Ireland,53.3667,-6.3333,S3292,0,Phoenix Park,0.219463936,0.748676908
Great Britain,51.2904,-2.8663,S3300,178,Picken's Hole,3.919263436,0.383278901
Great Britain,49.2486,-2.2525,S3310,6,Pinnacle,1.819444496,1.260851314
Great Britain,51.8164,-0.6463,S3315,0,Pitstone,4.649110608,0.304384936
Great Britain,53.2167,-3.4667,S3356,41,Pontnewedd,2.995483215,0.777427502
Great Britain,55.7334,-6.3844,S3358,0,Port Charlotte,1.101196542,0.650636064
Great Britain,51.6416,-4.6827,S3369,297,Potters Cave,2.331457485,1.361862142
Ireland,53.0328,-9.14863,S3371,55,Poulawack,0.295601909,0.947426868
Ireland,53.0455,-9.1343,S3372,54,Poulnabrone,0.280264172,0.929971036
Great Britain,53.3263,-3.4115,S3380,69,Prestatyn,2.937462926,0.883469236
Great Britain,51.8355,0.6985,S3381,29,presumed Meso pit,4.900653336,0.820661419
Great Britain,51.6667,-4.9167,S3387,8,Priory Farm Cave,2.139891234,1.571372643
Great Britain,56.4033,-5.47853,S3433,512,Raschoille Cave,0.220589414,0.735716469
Great Britain,56.4034,-5.4772,S3434,498,Raschoille,0.220060661,0.734413429
Great Britain,52.3214,-0.1584,S3444,0,Rectory Farm,5.294946366,0.021616548
Great Britain,51.553,-4.257,S3445,129,Red Fescue Cave,2.721442815,1.035605472
Great Britain,50.5194,-4.5846,S3446,45,Redhill Marsh,3.225295984,2.013178883
Great Britain,54.98,-3.08,S3447,31,Redkirk Point,1.806694961,0.614167314
Great Britain,58.1083,-4.9416,S3453,301,Creag nan Uamh/Reindeer Cave,0.215932068,1.466485842
Great Britain,54.3493,-4.4759,S3467,0,"Rhedhoo, IOM",1.671832795,1.475495188
Great Britain,53.2888,-3.4628,S3468,39,Rhuddlan,2.951898195,0.84885746
Great Britain,51.6383,-0.429,S3469,0,Rickmansworth,4.560201887,0.500106793
Ireland,54.5139,-5.6495,S3477,0,Ringneill Quay,1.552868115,0.778909498
Great Britain,56.6716,-5.9016,S3492,379,Risga,0.194983447,1.12958213
Great Britain,53.6466,-2.0257,S3493,9,Rishworth Drain,3.478057387,0.736427241
Great Britain,52.1899,-0.1405,S3496,0,River Snail,5.179630016,0.123337635
Great Britain,53.2618,-1.1994,S3501,36,Robin Hood Cave,4.349372512,0.546288079
Great Britain,53.5774,-1.9547,S3521,2,Rocher Moss South,3.577201665,0.809608665
Ireland,54.009,-6.2928,S3522,0,Rockmarshall,0.831531674,0.524587983
Great Britain,55.7874,-6.4336,S3523,170,Rockside,1.125106852,0.679030073
Great Britain,55.416,-3.3492,S3545,292,Rotten Bottom,1.342102182,0.130359755
Great Britain,51.4355,-0.5353,S3563,0,Runnymede,4.332601519,0.692577455
Great Britain,57.4753,-5.8633,S3653,415,Sand,0.393142918,1.38931107
Great Britain,53.5,-1.2,S3677,89,Scabba Wood Shelter,4.176977573,0.331257169
Great Britain,60.245,-1.5393,S3700,0,Scord of Brouster,3.619458996,4.137235368
Great Britain,58.1085,-4.94038,S3701,307,Creag nan Uamh,0.214728832,1.466378997
Great Britain,54.2331,-0.4176,S3703,0,Seamer Carr,4.298125567,0.615569967
Great Britain,57.0162,-6.2789,S3705,230,Seasonal/year-round occupation and working of lithics,0.603612265,1.558299327
Great Britain,54.1021,-0.1875,S3737,0,Sewerby Cottage Farm,4.56242382,0.67206264
Ireland,52.6804,-8.2307,S3739,77,Shanballyedmond,1.049888543,0.29922333
Great Britain,56.0209,-6.2162,S3742,16,Shell midden assoc with raised storm beach,0.848597016,0.983496071
Great Britain,55.5996,-4.6589,S3743,547,Shewalton,0.423431186,1.020449183
Great Britain,52.429,0.4124,S3745,0,Shippea Hill,5.090191691,0.178189969
Great Britain,58.2309,-6.20479,S3751,87,Shulishader,0.82105896,2.159687442
Great Britain,60.1454,-1.2058,S3760,0,Shurton Hill,3.835646277,4.211695327
Great Britain,51.5022,-1.8939,S3771,64,Silvertown,4.082492469,0.78017999
Great Britain,59.0488,-3.3406,S3785,0,Skara Brae,1.467214731,2.362240039
Great Britain,56.6489,-3.7224,S3787,93,Sketewan,0.298021578,0.059438197
Ireland,54.1215,-6.4321,S3793,0,Slieve Gullion,0.925238849,0.388220327
Great Britain,55.2015,-4.145,S3798,295,Smittons T1,0.928944736,0.699538086
Great Britain,55.2015,-4.1466,S3800,286,Smittons,0.928180466,0.701028502
Great Britain,51.4167,-1.8667,S3825,63,South Street,3.999311424,0.823607926
Great Britain,53.6583,-2.0454,S3826,7,Soyland Moor,3.455775067,0.724728236
Great Britain,53.3301,-3.4717,S3831,56,Splash Point ,2.910337259,0.890786668
Great Britain,52.6925,-2.4108,S3832,138,Spong Hill,3.974948491,0.695205018
Great Britain,51.5658,-4.09773,S3834,41,Spurge Hole,2.844841274,0.90485308
Great Britain,56.97,-2.2434,S3835,0,Spurryhillock,1.811474345,1.184814879
Great Britain,51.4032,-0.4518,S3851,0,Staines Road Farm,4.333650529,0.732806894
