Country,Latitude,Longitude,SiteID,Elevation,SiteName
Great Britain,55.3094,-1.5525,S2584,0,"Lacustrine mud exposed in seacliff: multicomponent (Meso, BA) site"
Great Britain,57.993,-4.40244,S2595,0,Lairg
Great Britain,51.5481,-1.5341,S2597,68,Lambourn
Great Britain,54.4629,-3.1202,S2602,479,Langdale
Great Britain,52.3911,-2.3086,S2803,82,Lightmarsh Farm
Great Britain,55.9754,-3.6186,S2815,58,Linlithgow
Ireland,52.1833,-8.9,S2819,165,Lisduggan North
Great Britain,55.4945,-5.1126,S2821,278,Lithics working site
Great Britain,51.6656,-4.7318,S2822,258,Little Hoyle Cave
Great Britain,57.5029,-5.9927,S2829,537,Loch A Squirt
Great Britain,55.2118,-4.3877,S2830,117,Loch Doon
Great Britain,54.9695,-3.6124,S2831,181,Lochhill
Great Britain,52.8504,-1.30917,S2832,3,Lockington
Great Britain,53.6079,-1.9879,S2842,4,Lominot Site III
Great Britain,56.3985,-5.47987,S2844,473,Lon Mor
Great Britain,51.0616,-0.8768,S2848,0,Longmoor
Ireland,53.2124,-7.7766,S2856,80,Lough Boora
Ireland,52.5196,-8.5304,S2857,79,Lough Gur
Great Britain,56.0216,-5.7795,S2872,50,Lussa 1
Great Britain,56.0207,-5.7794,S2874,42,Lussa River
Great Britain,51.6511,-4.7687,S2877,179,Lydstep
Great Britain,56.4173,-5.4713,S2886,228,MacArthur Cave
Great Britain,56.4507,-5.3097,S2889,240,Machrie Moor
Ireland,54.9647,-5.9231,S2890,170,Mad Man's Window
Great Britain,51.834,-2.6575,S2891,163,Madawg
Great Britain,58.9965,-3.18824,S2894,0,Maeshowe
Great Britain,50.6949,-2.46723,S2902,13,Maiden Castle
Great Britain,53.6115,-1.9879,S2927,8,March Hill 
Great Britain,53.6115,-1.9879,S2928,8,March Hill II
Great Britain,51.3232,-1.8708,S2930,95,Marden
Great Britain,53.2693,-1.2352,S2939,35,Markland Grips
Great Britain,51.4021,-1.39617,S2944,13,Marsh Benham
Great Britain,54.1261,-1.4154,S2947,83,Marton-le-Moor
Great Britain,56.1361,-4.0503,S2967,0,Meiklewood
Great Britain,55.6506,-3.2635,S2972,22,Meldon Bridge
Great Britain,54.9915,-2.61106,S2985,61,Midgeholme Moss
Great Britain,57.0045,-2.49025,S2987,0,Midtown
Great Britain,51.4422,-1.85798,S2997,38,Millbarrow
Great Britain,51.5803,-0.5335,S3001,0,Misbourne Viaduct
Great Britain,55.5136,-5.14,S3011,201,Monamore
Great Britain,54.3478,-1.0845,S3013,0,Money Howe I
Great Britain,54.3152,-3.4067,S3014,589,Monk Moors
Ireland,53.7241,-6.4862,S3015,0,Monknewtown
Great Britain,56.4206,-2.8641,S3046,0,Morton A
Great Britain,56.4206,-2.8641,S3047,0,Morton B
Great Britain,53.2627,-1.1964,S3051,43,Mother Grundy's Parlour
Ireland,55.113,-6.66457,S3057,0,Mount Sandel
Ireland,53.82,-6.76,S3061,0,Moynagh Lough
Great Britain,53.3044,-4.6837,S3066,0,Multiphase site
Great Britain,51.7536,-5.2009,S3081,55,Nab Head Site I
Great Britain,51.7536,-5.2009,S3082,55,Nab Head Site II
Great Britain,51.6409,-4.68108,S3092,291,Nanna's Cave
Great Britain,54.9743,-3.3047,S3112,83,Newbie Cottage
Ireland,54.8216,-6.4579,S3113,0,Newferry
Ireland,53.6948,-6.47555,S3114,0,Newgrange
Great Britain,55.76,-6.211,S3115,0,Newton
Great Britain,51.172,-1.825,S3137,76,Normanton Down
Great Britain,56.0818,-5.7211,S3140,586,North Carn
Great Britain,51.5655,-1.1184,S3141,34,North Stoke
Great Britain,57.8117,-7.0915,S3144,0,Northton
Great Britain,51.2439,-1.52719,S3157,94,Nutbane
Great Britain,51.1148,-0.8898,S3159,0,Oakhanger Warren Site VII
Great Britain,51.1121,-0.8942,S3160,0,Oakhanger Warren
Great Britain,51.1087,-0.9143,S3161,0,Oakhanger
Great Britain,54.3125,-3.4066,S3167,477,Occupation material in alluvial sediments
Great Britain,50.8882,-0.0122,S3176,0,Offham Hill
Great Britain,51.4674,-3.6371,S3179,26,Ogmore-by-Sea
Great Britain,51.6342,-4.68,S3180,366,Ogof-yr-ychen
Great Britain,51.5647,-0.1877,S3201,0,Open site
Great Britain,51.4998,0.377925,S3209,33,Orsett
Great Britain,53.0833,-1.85,S3215,11,Ossom's Cave
Great Britain,51.7463,-1.2554,S3242,71,Oxford BT Tunnel
Ireland,53.4373,-6.1593,S3244,0,Paddy's Hill
Great Britain,54.2133,-0.4234,S3247,0,Palynology monolith
Great Britain,51.5878,-4.1118,S3251,74,Parc le Breos
Great Britain,56.1437,-4.2474,S3256,83,Parks of Carden
Great Britain,51.5498,-4.2546,S3267,102,Paviland Cave
Great Britain,54.2231,-0.4154,S3268,0,peat site
Great Britain,57.1243,-2.6987,S3270,0,Peel of Lumpanan
Ireland,53.3667,-6.3333,S3292,0,Phoenix Park
Great Britain,51.2904,-2.8663,S3300,178,Picken's Hole
Great Britain,49.2486,-2.2525,S3310,6,Pinnacle
Great Britain,51.8164,-0.6463,S3315,0,Pitstone
Great Britain,53.2167,-3.4667,S3356,41,Pontnewedd
Great Britain,55.7334,-6.3844,S3358,0,Port Charlotte
Great Britain,51.6416,-4.6827,S3369,297,Potters Cave
Ireland,53.0328,-9.14863,S3371,55,Poulawack
Ireland,53.0455,-9.1343,S3372,54,Poulnabrone
Great Britain,53.3263,-3.4115,S3380,69,Prestatyn
Great Britain,51.8355,0.6985,S3381,29,presumed Meso pit
Great Britain,51.6667,-4.9167,S3387,8,Priory Farm Cave
Great Britain,56.4033,-5.47853,S3433,512,Raschoille Cave
Great Britain,56.4034,-5.4772,S3434,498,Raschoille
Great Britain,52.3214,-0.1584,S3444,0,Rectory Farm
Great Britain,51.553,-4.257,S3445,129,Red Fescue Cave
Great Britain,50.5194,-4.5846,S3446,45,Redhill Marsh
Great Britain,54.98,-3.08,S3447,31,Redkirk Point
Great Britain,58.1083,-4.9416,S3453,301,Creag nan Uamh/Reindeer Cave
Great Britain,54.3493,-4.4759,S3467,0,"Rhedhoo, IOM"
Great Britain,53.2888,-3.4628,S3468,39,Rhuddlan
Great Britain,51.6383,-0.429,S3469,0,Rickmansworth
Ireland,54.5139,-5.6495,S3477,0,Ringneill Quay
Great Britain,56.6716,-5.9016,S3492,379,Risga
Great Britain,53.6466,-2.0257,S3493,9,Rishworth Drain
Great Britain,52.1899,-0.1405,S3496,0,River Snail
Great Britain,53.2618,-1.1994,S3501,36,Robin Hood Cave
Great Britain,53.5774,-1.9547,S3521,2,Rocher Moss South
Ireland,54.009,-6.2928,S3522,0,Rockmarshall
Great Britain,55.7874,-6.4336,S3523,170,Rockside
Great Britain,55.416,-3.3492,S3545,292,Rotten Bottom
Great Britain,51.4355,-0.5353,S3563,0,Runnymede
Great Britain,57.4753,-5.8633,S3653,415,Sand
Great Britain,53.5,-1.2,S3677,89,Scabba Wood Shelter
Great Britain,60.245,-1.5393,S3700,0,Scord of Brouster
Great Britain,58.1085,-4.94038,S3701,307,Creag nan Uamh
Great Britain,54.2331,-0.4176,S3703,0,Seamer Carr
Great Britain,57.0162,-6.2789,S3705,230,Seasonal/year-round occupation and working of lithics
Great Britain,54.1021,-0.1875,S3737,0,Sewerby Cottage Farm
Ireland,52.6804,-8.2307,S3739,77,Shanballyedmond
Great Britain,56.0209,-6.2162,S3742,16,Shell midden assoc with raised storm beach
Great Britain,55.5996,-4.6589,S3743,547,Shewalton
Great Britain,52.429,0.4124,S3745,0,Shippea Hill
Great Britain,58.2309,-6.20479,S3751,87,Shulishader
Great Britain,60.1454,-1.2058,S3760,0,Shurton Hill
Great Britain,51.5022,-1.8939,S3771,64,Silvertown
Great Britain,59.0488,-3.3406,S3785,0,Skara Brae
Great Britain,56.6489,-3.7224,S3787,93,Sketewan
Ireland,54.1215,-6.4321,S3793,0,Slieve Gullion
Great Britain,55.2015,-4.145,S3798,295,Smittons T1
Great Britain,55.2015,-4.1466,S3800,286,Smittons
Great Britain,51.4167,-1.8667,S3825,63,South Street
Great Britain,53.6583,-2.0454,S3826,7,Soyland Moor
Great Britain,53.3301,-3.4717,S3831,56,Splash Point 
Great Britain,52.6925,-2.4108,S3832,138,Spong Hill
Great Britain,51.5658,-4.09773,S3834,41,Spurge Hole
Great Britain,56.97,-2.2434,S3835,0,Spurryhillock
Great Britain,51.4032,-0.4518,S3851,0,Staines Road Farm
Great Britain,51.4326,-0.5181,S3852,0,Staines enclosure
Great Britain,54.503,-1.72356,S3854,181,Stanwick
Great Britain,56.061,-6.19914,S3855,393,Staosnaig
Great Britain,54.2142,-0.4234,S3856,0,Star Carr
Great Britain,55.2151,-4.3847,S3859,120,Starr 1
Great Britain,54.2133,-0.423503,S3860,0,Starr Carr
Great Britain,53.0667,-0.8667,S3866,0,Staythorpe
Great Britain,51.1789,-1.8262,S3876,94,Stonehenge
Ireland,53.0865,-8.2847,S3877,80,Stoney Island
Great Britain,57.4818,-4.1902,S3878,135,Stoneyfield
Great Britain,51.2716,-2.00014,S3886,68,Strawberry Hill
Great Britain,54.566,-0.8615,S3887,0,Street House Farm
Great Britain,55.9147,-4.2723,S3902,88,Summerston
Ireland,53.4006,-7.6103,S3909,58,Sutton
Great Britain,51.1585,-2.8266,S3914,81,Sweet Track
Great Britain,55.4756,-2.8148,S3918,143,Synton Moss
Ireland,52.4042,-8.6113,S3936,40,Tankardstown Site 
Ireland,53.58,-6.6123,S3938,0,Tara
Great Britain,56.1234,-5.4981,S3957,358,Temple Wood
Great Britain,51.3975,-1.2769,S3965,15,Thatcham II
Great Britain,51.3975,-1.2783,S3966,17,Thatcham III
Great Britain,51.3975,-1.2783,S3967,17,Thatcham IV
Great Britain,51.3966,-1.2769,S3968,15,Thatcham Site III
Great Britain,51.3975,-1.2726,S3969,17,Thatcham V
Great Britain,51.3975,-1.2783,S3970,17,Thatcham
Great Britain,55.8228,-2.605,S3972,0,The Dunion
Great Britain,53.3086,-1.206,S3977,69,Thorpe Common
Great Britain,50.4938,-3.6709,S3980,0,Three Holes Cave
Great Britain,51.6358,-0.445,S4000,0,Tolpits Lane
Great Britain,51.638,-0.429,S4001,0,Tolpitts Lane
Ireland,54.7509,-6.4777,S4003,0,Toome Bay
Great Britain,50.4932,-3.6677,S4008,0,Tornewton Cave
Ireland,53.7218,-6.4501,S4018,0,Townley Hall
Great Britain,53.1824,-4.4665,S4046,137,Trwyn Du
Great Britain,51.5803,-0.5335,S4050,0,"Tufa with soils, animal bones, and flint-knapping"
Great Britain,58.5347,-3.6009,S4052,0,Tulloch of Assery A
Great Britain,58.5346,-3.6026,S4053,0,Tulloch of Assery B
Great Britain,57.5851,-3.5239,S4054,67,Tulloch Wood
Ireland,54.4531,-7.81,S4055,89,Tully
Great Britain,56.4903,-5.86527,S4074,306,Ulva Cave
Great Britain,50.9124,-3.4439,S4077,84,Underlies presumptive Neo earthen long barrow
Great Britain,56.1394,-5.48399,S4081,216,Upper Largie
Great Britain,51.5325,-2.97031,S4088,96,Uskmouth  
Great Britain,51.5325,-2.9588,S4089,109,Uskmouth 8
Great Britain,53.2302,-2.1993,S4182,75,Walker's Heath
Great Britain,51.4632,-0.1932,S4186,0,Wandsworth
Great Britain,53.5809,-1.9547,S4196,0,Warcock Hill South
Great Britain,53.5845,-1.9517,S4197,3,Warcock Hill
Great Britain,55.0096,-3.09125,S4198,192,Warden's Dykes
Great Britain,57.0258,-2.4102,S4199,0,Wardend 
Great Britain,51.4091,-1.4248,S4208,12,Wawcott III
Great Britain,51.4055,-1.4177,S4209,12,Wawcott
Great Britain,51.5664,-1.5958,S4210,85,Wayland's Smithy
Great Britain,53.6205,-2.0121,S4211,7,Waystone Edge
Great Britain,54.6805,-1.2244,S4215,0,West Hartlepool
Great Britain,51.5647,-0.1877,S4216,0,West Heath
Great Britain,50.8409,-0.7543,S4220,0,Westhampnett
Great Britain,51.0395,-4.24013,S4221,69,Westward Ho
Great Britain,51.0383,-4.2396,S4222,87,Westwood Ho
Great Britain,53.1035,-1.8566,S4223,38,Wetton Mill
Great Britain,53.2672,-1.2023,S4226,38,Whitwell Long Cairn
Great Britain,51.7729,-0.4055,S4232,0,Willington
Great Britain,51.4401,-1.8748,S4235,40,Windmill Hill
Great Britain,51.567,-4.285,S4241,38,Worms Head Cave
Great Britain,50.9366,-1.9915,S4245,141,Wyke Down
Great Britain,55.5908,-5.50719,S4307,32,Achnasavil
Great Britain,52.23,-0.92,S4333,0,Briar Hill
Great Britain,52.394,-2.762,S4334,127,Bromfield
Great Britain,51.17,-1.81,S4344,79,Coneybury 'Anomaly'
Great Britain,50.913,-2.222,S4380,33,Hambledon Hill
Great Britain,51.1831,-1.81,S4392,109,W59 King Barrow Ridge
Great Britain,53.26,-1.94,S4412,23,Lismore Fields
Great Britain,52.865,-4.047,S4428,123,Moel y Gerddi
Great Britain,51.21,-1.86,S4451,143,Robin Hood's Ball
Great Britain,50.7,-2.544,S4455,0,Rowden
Ireland,52.404,-8.611,S4472,37,Tankardstown
Great Britain,51.733,0.739639,S4483,0,The Stumble
Great Britain,51.441,-1.876,S4501,41,Windmill Hill - external features
Great Britain,52.468,1.4514,S4522,5,Ditchingham Broome Heath
Great Britain,52.929,0.496719,S4536,28,"Redgate Hill, Hunstanton"
Great Britain,57.8083,-7.0939,S4537,0,Northon
Ireland,52.2513,-9.6539,S4634,104,Ballycarty
Great Britain,54.0948,-0.285883,S4667,0,Caythorpe
Great Britain,51.1735,-1.8097,S4678,78,Coneybury henge
Great Britain,51.1932,-1.78673,S4707,75,Durrington Walls
Great Britain,52.6534,-0.323585,S4730,0,Etton
Great Britain,52.6481,-0.313222,S4731,0,Etton - A151 bypass site
Great Britain,52.6493,-0.319622,S4732,0,Etton Landscape Site 1
Great Britain,52.6493,-0.319622,S4733,0,Etton Landscape Site 2
Great Britain,52.6493,-0.319622,S4734,0,Etton Landscape Site 4
Great Britain,52.6493,-0.319622,S4735,0,Etton Landscape Site 6
Great Britain,52.6493,-0.319622,S4736,0,Etton Landscape Site 7
Great Britain,50.932,-1.9992,S4740,106,Fir tree field
Great Britain,52.3441,0.068639,S4777,3,Haddenham Causewayed enclosure
Great Britain,52.3714,0.083108,S4778,2,Haddenham Long Barrow
Great Britain,55.8747,-6.33256,S4819,0,Killelan farm
Great Britain,59.326,-3.00571,S4856,0,Links of Noltland
Great Britain,50.7089,-2.41207,S4882,10,Mount Pleasant
Great Britain,59.3233,-2.9878,S4917,0,Pierowall quarry
Great Britain,59.2236,-2.67017,S4930,0,Pool
Great Britain,51.4158,-1.85759,S4991,54,Silbury Hill
Great Britain,58.994,-3.20775,S5007,0,Stones of Stenness
Great Britain,59.309,-2.42508,S5034,0,Tofts Ness
Great Britain,51.4086,-1.85111,S5063,53,West Kennet Long Barrow
Great Britain,51.4125,-1.84314,S5064,58,West Kennett Palisade
Great Britain,50.9371,-1.99209,S5067,119,Wyke down henge 2
Ireland,55.036,-7.27964,S5085,265,Thornhill
Ireland,54.6701,-6.15631,S5087,0,Ballyharry
Ireland,54.6519,-8.0821,S5088,188,Drummeny Lower
Ireland,55.0253,-7.2698,S5089,275,Enagh Townland
Ireland,54.0035,-6.76032,S5090,0,Coolfore 
Ireland,52.2576,-9.70116,S5091,95,Cloghers
Great Britain,51.8433,-2.10593,S6139,74,Crickley Hill
Great Britain,51.4033,-1.07551,S6157,67,Abbots Farm
Great Britain,51.2277,-1.73216,S6158,86,Ablington
Great Britain,51.4203,-1.51961,S6159,15,Aldbourne
Great Britain,53.2931,-2.21605,S6160,141,Alderley Edge
Great Britain,51.4055,-1.13011,S6161,48,Aldermaston
Great Britain,50.8126,0.143608,S6162,103,Alfriston
Great Britain,50.7074,-2.42207,S6163,10,Alington Avenue
Great Britain,56.4168,-3.53357,S6164,0,Almond Bank
Great Britain,52.2961,-2.8139,S6165,101,Ambrey
Great Britain,51.1792,-2.83128,S6166,101,Amesbury
Great Britain,53.389,-4.34157,S6167,0,Amlwch
Great Britain,54.2123,-1.11054,S6168,0,Ampleforth Moor
Great Britain,53.2488,0.33,S6169,3,Anderby Creek
Great Britain,54.2383,-1.10538,S6170,0,Antofts Windypit
Great Britain,53.5979,-0.525031,S6171,0,Appleby
Great Britain,51.9095,0.983643,S6172,32,Ardleigh
